phi,Z,+-
0.01,1.041170,0.000109
0.05,1.227512,0.000296
0.10,1.522710,0.000440
0.15,1.906294,0.000521
0.20,2.412301,0.000643
0.25,3.085858,0.000757
0.30,3.993349,0.000808
0.35,5.234296,0.001053
0.40,6.965791,0.001329
0.45,9.425235,0.002102
0.46,9.981440,0.002269
0.47,10.633421,0.002842
0.48,11.341657,0.002611
0.49,12.111034,0.003038
0.50,12.941969,0.003251
0.51,9.807213,0.002292
0.52,10.131459,0.001974
0.53,10.529730,0.001950
0.54,11.000056,0.001744
0.55,11.534132,0.001484
0.56,12.148030,0.001680
0.57,12.843627,0.001510
0.58,13.636243,0.001458
0.59,14.540034,0.001480
0.60,15.585081,0.001430
0.61,16.798133,0.001376
0.62,18.218565,0.001414
